Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.05
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.88
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.15
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.27
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.5
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.9
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.06
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.05
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.11
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.2
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.17
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.31
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.5
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.9
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.6
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.46
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.91
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.23
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.2
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.02
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.65
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.91
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.94
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.99
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.44
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.93
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.93
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.7
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.05
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.87
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.07
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.24
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.31
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.18
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.14
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.21
