,Country,Region,CEI,GCI,DDL,인구,국가 면적(mi),면적당 인구밀도,GDP,폰 보급률,출생,사망
0,AFGHANISTAN,Asia-Pasific,1.0,5.2,19.5,31056997.0,647500.0,"48,0",700.0,"3,2","46,6","20,34"
1,ALBANIA,Europe,0.566,64.32,48.74,3581655.0,28748.0,"124,6",4500.0,"71,2","15,11","5,22"
2,ALGERIA,Africa,0.721,33.95,42.81,32930091.0,2381740.0,"13,8",6000.0,"78,1","17,14","4,61"
6,ARGENTINA,South America,0.514,50.12,60.43,39921833.0,2766890.0,"14,4",11200.0,"220,4","16,73","7,55"
7,ARMENIA,Europe,0.655,50.47,55.06,2976372.0,29800.0,"99,9",3500.0,"195,7","12,07","8,23"
8,AUSTRALIA,Asia-Pasific,0.131,97.47,77.61,20264082.0,7686850.0,"2,6",29000.0,"565,5","12,14","7,51"
9,AUSTRIA,Europe,0.162,93.89,75.76,8192880.0,83870.0,"97,7",30000.0,"452,2","8,74","9,76"
10,AZERBAIJAN,Europe,0.531,89.31,54.78,7961619.0,86600.0,"91,9",3400.0,"137,1","20,74","9,75"
13,BANGLADESH,Asia-Pasific,0.759,81.27,33.11,147365352.0,144000.0,"1023,4",1900.0,"7,3","29,8","8,27"
15,BELARUS,Europe,0.614,50.57,62.33,10293011.0,207600.0,"49,6",6100.0,"319,1","11,16","14,02"
16,BELGIUM,Europe,0.19,96.25,74.07,10379067.0,30528.0,"340,0",29100.0,"462,6","10,38","10,27"
20,BOLIVIA,South America,0.783,16.14,42.09,8989046.0,1098580.0,"8,2",2400.0,"71,9","23,3","7,53"
23,BRAZIL,South America,0.541,96.6,59.11,188078227.0,8511965.0,"22,1",7600.0,"225,3","16,56","6,17"
25,BULGARIA,Europe,0.483,67.38,62.06,7385367.0,110910.0,"66,6",7600.0,"336,3","9,65","14,27"
29,CAMBODIA,Asia-Pasific,0.703,19.12,34.59,13881427.0,181040.0,"76,7",1900.0,"2,6","26,9","9,06"
30,CAMEROON,Africa,0.707,45.63,28.28,17340702.0,475440.0,"36,5",1800.0,"5,7","33,89","13,47"
31,CANADA,North America,0.207,97.67,75.96,33098932.0,9984670.0,"3,3",29800.0,"552,2","10,78","7,8"
34,CHILE,South America,0.469,68.83,61.44,16134219.0,756950.0,"21,3",9900.0,"213,0","15,23","5,81"
35,CHINA,Asia-Pasific,0.483,92.53,62.41,1313973713.0,9596960.0,"136,9",5000.0,"266,7","13,25","6,97"
36,COLOMBIA,South America,0.59,63.72,52.08,43593035.0,1138910.0,"38,3",6300.0,"176,2","20,48","5,58"
39,COSTA RICA,North America,0.438,67.45,58.87,4075261.0,51100.0,"79,8",9100.0,"340,7","18,32","4,36"
41,CROATIA,Europe,0.255,92.53,81.51,4494749.0,56542.0,"79,5",10600.0,"420,4","9,61","11,48"
44,CZECH REPUBLIC,Europe,0.334,74.37,69.21,10235455.0,78866.0,"129,8",15700.0,"314,3","9,02","10,59"
45,DENMARK,Europe,0.117,92.6,82.68,5450661.0,43094.0,"126,5",31100.0,"614,6","11,13","10,36"
48,DOMINICAN REPUBLIC,North America,0.497,75.05,45.21,9183984.0,48730.0,"188,5",6000.0,"97,4","23,22","5,73"
49,ECUADOR,South America,0.652,26.3,45.57,13547510.0,283560.0,"47,8",3300.0,"125,6","22,29","4,23"
